amount,datetime,type,symbol,price,cost,timestamp
3575.0,2024-03-17T00:10:26.975Z,limit,DOGE/USDT,0.14424,515.658,1710634226975
13990.0,2024-03-17T00:10:32.272Z,limit,DOGE/USDT,0.14411,2016.0989,1710634232272
9140.0,2024-03-17T00:10:34.921Z,limit,DOGE/USDT,0.14415,1317.531,1710634234921
11693.0,2024-03-17T00:10:42.300Z,limit,DOGE/USDT,0.14401,1683.90893,1710634242300
12897.0,2024-03-17T00:10:52.325Z,limit,DOGE/USDT,0.14401,1857.29697,1710634252325
8210.0,2024-03-17T00:11:13.966Z,limit,DOGE/USDT,0.14402,1182.4042,1710634273966
5548.0,2024-03-17T00:11:29.887Z,limit,DOGE/USDT,0.14392,798.46816,1710634289887
2098.0,2024-03-17T00:11:37.740Z,limit,DOGE/USDT,0.14403,302.17494,1710634297740
13858.0,2024-03-17T00:11:39.852Z,limit,DOGE/USDT,0.14404,1996.10632,1710634299852
16770.0,2024-03-17T00:11:49.325Z,limit,DOGE/USDT,0.14395,2414.0415,1710634309325
7481.0,2024-03-17T00:11:52.483Z,limit,DOGE/USDT,0.14388,1076.36628,1710634312483
7424.0,2024-03-17T00:11:58.798Z,limit,DOGE/USDT,0.14402,1069.20448,1710634318798
13933.0,2024-03-17T00:12:03.132Z,limit,DOGE/USDT,0.14406,2007.18798,1710634323132
1422.0,2024-03-17T00:12:07.958Z,limit,DOGE/USDT,0.14396,204.71112,1710634327958
11061.0,2024-03-17T00:12:12.120Z,limit,DOGE/USDT,0.14387,1591.34607,1710634332120
1349.0,2024-03-17T00:12:12.604Z,limit,DOGE/USDT,0.14387,194.08063,1710634332604
7420.0,2024-03-17T00:12:24.198Z,limit,DOGE/USDT,0.14401,1068.5542,1710634344198
6671.0,2024-03-17T00:12:34.255Z,limit,DOGE/USDT,0.14396,960.35716,1710634354255
5295.0,2024-03-17T00:12:41.623Z,limit,DOGE/USDT,0.144,762.48,1710634361623
19176.0,2024-03-17T00:12:44.757Z,limit,DOGE/USDT,0.14392,2759.80992,1710634364757
2998.0,2024-03-17T00:12:45.788Z,limit,DOGE/USDT,0.14392,431.47216,1710634365788
10447.0,2024-03-17T00:12:56.373Z,limit,DOGE/USDT,0.14379,1502.17413,1710634376373
17594.0,2024-03-17T00:13:00.543Z,limit,DOGE/USDT,0.1438,2530.0172,1710634380543
10623.0,2024-03-17T00:13:10.643Z,limit,DOGE/USDT,0.14398,1529.49954,1710634390643
3907.0,2024-03-17T00:13:16.593Z,limit,DOGE/USDT,0.14397,562.49079,1710634396593
182.0,2024-03-17T00:13:21.853Z,limit,DOGE/USDT,0.14409,26.22438,1710634401853
20607.0,2024-03-17T00:13:26.131Z,limit,DOGE/USDT,0.14417,2970.91119,1710634406131
10965.0,2024-03-17T00:13:31.883Z,limit,DOGE/USDT,0.1441,1580.0565,1710634411883
9955.0,2024-03-17T00:13:38.200Z,limit,DOGE/USDT,0.14419,1435.41145,1710634418200
22205.0,2024-03-17T00:13:39.766Z,limit,DOGE/USDT,0.14418,3201.5169,1710634419766
19833.0,2024-03-17T00:13:40.312Z,limit,DOGE/USDT,0.14418,2859.52194,1710634420312
22109.0,2024-03-17T00:14:01.998Z,limit,DOGE/USDT,0.14429,3190.10761,1710634441998
13601.0,2024-03-17T00:14:07.435Z,limit,DOGE/USDT,0.14419,1961.12819,1710634447435
13649.0,2024-03-17T00:14:20.579Z,limit,DOGE/USDT,0.14416,1967.63984,1710634460579
14219.0,2024-03-17T00:14:29.073Z,limit,DOGE/USDT,0.14404,2048.10476,1710634469073
9960.0,2024-03-17T00:14:34.309Z,limit,DOGE/USDT,0.14396,1433.8416,1710634474309
5308.0,2024-03-17T00:14:42.790Z,limit,DOGE/USDT,0.14388,763.71504,1710634482790
2151.0,2024-03-17T00:14:45.975Z,limit,DOGE/USDT,0.144,309.744,1710634485975
9459.0,2024-03-17T00:14:47.057Z,limit,DOGE/USDT,0.14399,1362.00141,1710634487057
2903.0,2024-03-17T00:15:09.797Z,limit,DOGE/USDT,0.14408,418.26424,1710634509797
6027.0,2024-03-17T00:15:25.785Z,limit,DOGE/USDT,0.14409,868.43043,1710634525785
100.0,2024-03-17T00:15:27.903Z,market,DOGE/USDT,0.14414,14.414,1710634527903
6726.0,2024-03-17T00:15:29.474Z,limit,DOGE/USDT,0.14415,969.5529,1710634529474
5672.0,2024-03-17T00:15:38.618Z,limit,DOGE/USDT,0.14429,818.41288,1710634538618
3448.0,2024-03-17T00:15:39.666Z,limit,DOGE/USDT,0.14442,497.96016,1710634539666
4277.0,2024-03-17T00:15:53.357Z,limit,DOGE/USDT,0.14445,617.81265,1710634553357
2014.0,2024-03-17T00:15:54.481Z,limit,DOGE/USDT,0.14445,290.9223,1710634554481
8947.0,2024-03-17T00:16:02.429Z,limit,DOGE/USDT,0.14451,1292.93097,1710634562429
9256.0,2024-03-17T00:16:05.749Z,limit,DOGE/USDT,0.14446,1337.12176,1710634565749
688.0,2024-03-17T00:16:17.457Z,limit,DOGE/USDT,0.14443,99.36784,1710634577457
440.0,2024-03-17T00:16:21.163Z,limit,DOGE/USDT,0.14442,63.5448,1710634581163
6739.0,2024-03-17T00:16:25.883Z,limit,DOGE/USDT,0.1445,973.7855,1710634585883
7097.0,2024-03-17T00:16:28.500Z,limit,DOGE/USDT,0.14457,1026.01329,1710634588500
7705.0,2024-03-17T00:16:43.417Z,limit,DOGE/USDT,0.14473,1115.14465,1710634603417
10622.0,2024-03-17T00:16:55.706Z,limit,DOGE/USDT,0.14482,1538.27804,1710634615706
988.0,2024-03-17T00:17:02.089Z,limit,DOGE/USDT,0.1449,143.1612,1710634622089
9126.0,2024-03-17T00:17:05.244Z,limit,DOGE/USDT,0.14484,1321.80984,1710634625244
1042.0,2024-03-17T00:17:07.334Z,limit,DOGE/USDT,0.14491,150.99622,1710634627334
